library_id,total_spots,total_bases,taxonomy_id,ScientificName,kingdom,phylum,class,order,family,genus,species
"SRR4096429", 5239505, 1571851500, 1121881, " Ferrithrix thermotolerans DSM 19514", " Bacteria", " NA", " Acidimicrobiia", " Acidimicrobiales", " Acidimicrobiaceae", " Ferrithrix", " Ferrithrix thermotolerans"
"SRR3927025", 37358802, 5678537904, 743299, " Acidithiobacillus ferrivorans SS3", " Bacteria", " NA", " Acidithiobacillia", " Acidithiobacillales", " Acidithiobacillaceae", " Acidithiobacillus", " Acidithiobacillus ferrivorans"
"SRR16973071", 1986002, 599772604, 240015, " Acidobacterium capsulatum ATCC 51196", " Bacteria", " NA", " Acidobacteriia", " Acidobacteriales", " Acidobacteriaceae", " Acidobacterium", " Acidobacterium capsulatum"
"DRR073097", 8327859, 1665571800, 53635, " Acidimicrobium ferrooxidans", " Bacteria", " NA", " Actinobacteria", " Acidimicrobiales", " Acidimicrobiaceae", " Acidimicrobium", " Acidimicrobium ferrooxidans"
"SRR1013679", 2969436, 599826072, 1400941, " Mycobacterium tuberculosis KT-0110", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " Mycobacterium tuberculosis"
"SRR5229939", 1945529, 583658700, 1945514, " Streptomyces sp. MH192", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. MH192"
"SRR4067994", 1035855, 307381965, 222805, " Mycobacterium intracellulare subsp. chimaera", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " Mycobacterium intracellulare"
"DRR161211", 2128987, 425797400, 28047, " Mycolicibacterium confluentis", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycolicibacterium", " Mycolicibacterium confluentis"
"SRR4003578", 1393182, 838695564, 1885029, " Pseudonocardia sp. Ae168_Ps1", " Bacteria", " NA", " Actinomycetia", " Pseudonocardiales", " Pseudonocardiaceae", " Pseudonocardia", " Pseudonocardia sp. Ae168_Ps1"
"SRR3501418", 6220454, 933068100, 1410648, " Bifidobacterium thermophilum DSM 20212", " Bacteria", " NA", " Actinomycetia", " Bifidobacteriales", " Bifidobacteriaceae", " Bifidobacterium", " Bifidobacterium thermophilum"
"SRR17652104", 3232047, 1905551721, 2911213, " Micromonospora sp. LAH09", " Bacteria", " NA", " Actinomycetia", " Micromonosporales", " Micromonosporaceae", " Micromonospora", " Micromonospora sp. LAH09"
"SRR10812343", 2629273, 788781900, 1763, " Mycobacterium", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " NA"
"SRR12442355", 251569, 2051277844, 2653200, " Streptomyces phaeolivaceus", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces phaeolivaceus"
"SRR089499", 302393, 82198001, 196164, " Corynebacterium efficiens YS-314", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium efficiens"
"SRR1587674", 14110371, 4233111300, 1380349, " Micromonosporaceae bacterium URHE0070", " Bacteria", " NA", " Actinomycetia", " Micromonosporales", " Micromonosporaceae", " NA", " Micromonosporaceae bacterium URHE0070"
"SRR3452335", 9620934, 1443140100, 1449077, " Streptomyces sp. UNC401CLCol", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces sp. UNC401CLCol"
"SRR6388715", 753444, 356288111, 36809, " Mycobacteroides abscessus", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacteroides", " Mycobacteroides abscessus"
"SRR11802323", 11909029, 5878880281, 1770, " Mycobacterium avium subsp. paratuberculosis", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacterium", " Mycobacterium avium"
"SRR4423471", 527146, 303512161, 1774, " Mycobacteroides chelonae", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Mycobacteriaceae", " Mycobacteroides", " Mycobacteroides chelonae"
"SRR8649924", 3571526, 1792906052, 83656, " Streptomyces tsukubensis", " Bacteria", " NA", " Actinomycetia", " Streptomycetales", " Streptomycetaceae", " Streptomyces", " Streptomyces tsukubensis"
"SRR20336626", 5601867, 1691763834, 38303, " Corynebacterium pseudogenitalium", " Bacteria", " NA", " Actinomycetia", " Corynebacteriales", " Corynebacteriaceae", " Corynebacterium", " Corynebacterium pseudogenitalium"
"SRR10418657", 6199181, 1859754300, 1169183, " Salinispora pacifica CNT797", " Bacteria", " NA", " Actinomycetia", " Micromonosporales", " Micromonosporaceae", " Salinispora", " Salinispora pacifica"
"SRR7651494", 6749696, 1013205510, 2173179, " Microbacterium sp. Gd 4-13", " Bacteria", " NA", " Actinomycetia", " Micrococcales", " Microbacteriaceae", " Microbacterium", " Microbacterium sp. Gd 4-13"
