"library_id" "description" "total_spots" "total_bases" "label"
"DRR001463" "terrestrial" 21597981 3239697150 "metagenome"
"DRR001465" "terrestrial" 25734511 3860176650 "metagenome"
"DRR012575" "terrestrial" 25871631 5174326200 "metagenome"
"DRR093103" "terrestrial" 29856179 6030948158 "metagenome"
"ERR1030961" "terrestrial" 48700932 14610279600 "metagenome"
"ERR566216" "terrestrial" 184175229 8674475430 "metagenome"
"SRR032417" "terrestrial" 22203276 2131514496 "metagenome"
"SRR1022353" "terrestrial" 20962171 4192434200 "metagenome"
"SRR1026855" "terrestrial" 22833987 4612465374 "metagenome"
"SRR1029957" "terrestrial" 33450001 6021000180 "metagenome"
"SRR1051195" "terrestrial" 63272210 12654442000 "metagenome"
"SRR1145888" "terrestrial" 29167563 5891847726 "metagenome"
"SRR1157607" "terrestrial" 27629264 5525852800 "metagenome"
"SRR1157608" "terrestrial" 52421485 10484297000 "metagenome"
"SRR1167686" "terrestrial" 30912162 3091216200 "metagenome"
"SRR1171182" "terrestrial" 67829744 13565948800 "metagenome"
"SRR1182407" "terrestrial" 174142118 52242635400 "metagenome"
"SRR1184661" "terrestrial" 199519796 59855938800 "metagenome"
"SRR1263009" "terrestrial" 81035544 16207108800 "metagenome"
"SRR1313242" "terrestrial" 101445977 30433793100 "metagenome"
"SRR1313243" "terrestrial" 96072688 28821806400 "metagenome"
"SRR1313257" "terrestrial" 26882013 8064603900 "metagenome"
"SRR1313261" "terrestrial" 35128734 10538620200 "metagenome"
"SRR1313264" "terrestrial" 35226466 10567939800 "metagenome"
"SRR1313269" "terrestrial" 31117764 9335329200 "metagenome"
"SRR1313281" "terrestrial" 28856248 8656874400 "metagenome"
"SRR1367222" "terrestrial" 68937779 6893777900 "metagenome"
"SRR1506951" "terrestrial" 63608763 19082628900 "metagenome"
"SRR1506988" "terrestrial" 75511905 22653571500 "metagenome"
"SRR1510968" "terrestrial" 24401152 4929032704 "metagenome"
"SRR1510976" "terrestrial" 24235888 4895649376 "metagenome"
"SRR1510977" "terrestrial" 20168101 4073956402 "metagenome"
"SRR1510991" "terrestrial" 24781248 5005812096 "metagenome"
"SRR1561989" "terrestrial" 80607458 16282706516 "metagenome"
"SRR1561993" "terrestrial" 55229905 11156440810 "metagenome"
"SRR1561994" "terrestrial" 73886232 14925018864 "metagenome"
"SRR1561997" "terrestrial" 51413867 10385601134 "metagenome"
"SRR1562001" "terrestrial" 79837088 16127091776 "metagenome"
"SRR1586251" "terrestrial" 42993402 8684667204 "metagenome"
"SRR1586258" "terrestrial" 44335828 8955837256 "metagenome"
"SRR1586262" "terrestrial" 34044815 6877052630 "metagenome"
"SRR1586263" "terrestrial" 37348397 7544376194 "metagenome"
"SRR1586264" "terrestrial" 35661150 7203552300 "metagenome"
"SRR1586269" "terrestrial" 100823509 20366348818 "metagenome"
"SRR1586272" "terrestrial" 24689388 4987256376 "metagenome"
"SRR1586277" "terrestrial" 48642705 9825826410 "metagenome"
"SRR1586281" "terrestrial" 23239239 4694326278 "metagenome"
"SRR1586289" "terrestrial" 24685699 4986511198 "metagenome"
"SRR1586292" "terrestrial" 25572730 5165691460 "metagenome"
"SRR1586297" "terrestrial" 59189134 11956205068 "metagenome"
"SRR1586299" "terrestrial" 34453961 6959700122 "metagenome"
"SRR1586306" "terrestrial" 41615562 8406343524 "metagenome"
"SRR1586317" "terrestrial" 31439000 6350678000 "metagenome"
"SRR1586321" "terrestrial" 44629011 9015060222 "metagenome"
"SRR1586324" "terrestrial" 48754266 9848361732 "metagenome"
