,name,weight
49,ent_shan_50,0.10652528120972939
6,ent_shan_7,0.0833436453639428
7,ent_shan_8,0.07911784768358035
8,ent_shan_9,0.06567704149014618
9,ent_shan_10,0.05766503241880751
13,ent_shan_14,0.04362667651264135
56,ent_tsal_7,0.043183529872802426
116,fur_17,0.03939876194420271
117,fur_18,0.03665262649108613
14,ent_shan_15,0.035319809962264394
5,ent_shan_6,0.03518312624254897
62,ent_tsal_13,0.03140498008025008
30,ent_shan_31,0.03089041084630148
63,ent_tsal_14,0.029129317757475053
28,ent_shan_29,0.02384375460035171
57,ent_tsal_8,0.0200133478604093
31,ent_shan_32,0.018268636318935674
12,ent_shan_13,0.017011607721428942
87,ent_tsal_38,0.0158640873893879
60,ent_tsal_11,0.015024948998969088
10,ent_shan_11,0.013207480451487428
58,ent_tsal_9,0.013017666831360719
88,ent_tsal_39,0.012497711469705072
118,fur_19,0.012433901270054113
66,ent_tsal_17,0.011913524993875301
11,ent_shan_12,0.010180917767821398
99,ent_tsal_50,0.008139139669660855
19,ent_shan_20,0.008119532173994809
67,ent_tsal_18,0.007756895831360035
59,ent_tsal_10,0.007297754895011625
25,ent_shan_26,0.006968990668598598
18,ent_shan_19,0.0064916771219260235
65,ent_tsal_16,0.006166711068702738
35,ent_shan_36,0.005787015059694384
15,ent_shan_16,0.005470169495547317
89,ent_tsal_40,0.005187541294580294
70,ent_tsal_21,0.004570508820286713
102,fur_3,0.004503813380883986
112,fur_13,0.004149649612306532
82,ent_tsal_33,0.003953667009022539
74,ent_tsal_25,0.003822871673753551
17,ent_shan_18,0.0025886964003923973
69,ent_tsal_20,0.0025730832469565237
26,ent_shan_27,0.002490313122823029
22,ent_shan_23,0.0014453743872308194
55,ent_tsal_6,0.0010530892356600584
16,ent_shan_17,0.0004941150757357026
92,ent_tsal_43,0.0004053879806669617
48,ent_shan_49,8.74510459503804e-05
85,ent_tsal_36,8.08781827273168e-05
108,fur_9,8.793778785983526e-17
110,fur_11,4.64209400357951e-17
106,fur_7,2.2385104570740326e-17
97,ent_tsal_48,2.171124777691069e-17
78,ent_tsal_29,2.0164496430988347e-17
96,ent_tsal_47,1.8589729953489688e-17
27,ent_shan_28,1.7947039647680093e-17
73,ent_tsal_24,1.3595578736825699e-17
40,ent_shan_41,1.3542842419337236e-17
72,ent_tsal_23,1.2927935845723657e-17
71,ent_tsal_22,7.810313609869522e-18
47,ent_shan_48,7.693023266910308e-18
54,ent_tsal_5,6.149655838141741e-18
37,ent_shan_38,5.8145237207145386e-18
98,ent_tsal_49,5.099506718655255e-18
20,ent_shan_21,4.524036237275321e-18
100,fur_1,4.080089748255463e-18
51,ent_tsal_2,3.620145216887198e-18
105,fur_6,3.4244550392825134e-18
45,ent_shan_46,2.897271080201236e-18
114,fur_15,2.8692244209802496e-18
103,fur_4,2.5454247667164373e-18
77,ent_tsal_28,1.862809519374693e-18
42,ent_shan_43,1.5006004140431509e-18
39,ent_shan_40,4.392881475692603e-19
107,fur_8,4.0105819312142293e-19
79,ent_tsal_30,3.95362098866774e-19
3,ent_shan_4,3.1743536184638493e-19
80,ent_tsal_31,2.1155188850854314e-19
32,ent_shan_33,2.0394709194073943e-19
94,ent_tsal_45,2.798215003618054e-20
93,ent_tsal_44,2.3646467918424068e-20
64,ent_tsal_15,1.0454318900815953e-20
0,ent_shan_1,8.980939771643266e-21
1,ent_shan_2,7.379264674619606e-21
75,ent_tsal_26,0.0
61,ent_tsal_12,-7.255312600503317e-21
29,ent_shan_30,-8.421909375007502e-21
34,ent_shan_35,-4.141905023722969e-20
44,ent_shan_45,-1.2342563324076685e-19
81,ent_tsal_32,-1.4966704256902783e-19
90,ent_tsal_41,-1.6943901609366192e-19
23,ent_shan_24,-2.6618226838206086e-19
21,ent_shan_22,-3.473841775995175e-19
53,ent_tsal_4,-4.3100387895289725e-19
24,ent_shan_25,-4.652257309802865e-19
76,ent_tsal_27,-4.870255983479593e-19
50,ent_tsal_1,-5.5728642494515735e-19
2,ent_shan_3,-6.430519864152615e-19
83,ent_tsal_34,-6.851269533842634e-19
86,ent_tsal_37,-7.212922581458108e-19
41,ent_shan_42,-8.251521868847206e-19
91,ent_tsal_42,-8.344677319218251e-19
33,ent_shan_34,-1.2872031437940912e-18
95,ent_tsal_46,-1.4315665686189953e-18
4,ent_shan_5,-2.0523294536259363e-18
68,ent_tsal_19,-2.2745980279335343e-18
43,ent_shan_44,-3.2008778467479473e-18
104,fur_5,-3.3573411616484878e-18
52,ent_tsal_3,-3.84916996405078e-18
84,ent_tsal_35,-3.8558865686895935e-18
46,ent_shan_47,-6.506996625115651e-18
38,ent_shan_39,-7.935987616371298e-18
36,ent_shan_37,-1.4488175593967193e-17
115,fur_16,-1.4509449626015375e-17
109,fur_10,-1.7592407288046708e-17
113,fur_14,-3.4260019939362836e-17
111,fur_12,-5.160361503278178e-17
101,fur_2,-3.0385648988549485e-12
