nf,estimators,train-merror-mean,train-merror-std,test-merror-mean,test-merror-std
2,0,0.124053,0.00408,0.227261,0.00618
3,15,0.028953,0.000835,0.186905,0.003416
4,999,0.001737,0.000436,0.16882,0.003496
5,999,0.001737,0.000436,0.150913,0.001259
6,999,0.001737,0.000436,0.132384,0.005035
7,417,0.001737,0.000436,0.100936,0.003409
8,161,0.001737,0.000436,0.096303,0.000138
9,161,0.001737,0.000436,0.096303,0.000138
10,299,0.001737,0.000436,0.095858,0.002206
11,316,0.001737,0.000436,0.093542,0.003604
12,999,0.001737,0.000436,0.085702,0.004344
13,999,0.001737,0.000436,0.085702,0.004066
14,999,0.001737,0.000436,0.085257,0.004087
15,999,0.001737,0.000436,0.085702,0.004187
16,999,0.001737,0.000436,0.085078,0.002889
17,999,0.001737,0.000436,0.085791,0.003225
18,173,0.001737,0.000436,0.085524,0.002743
19,177,0.001737,0.000436,0.082317,0.002115
20,999,0.001737,0.000436,0.083831,0.004504
21,999,0.001737,0.000436,0.083475,0.003075
22,183,0.001737,0.000436,0.08294,0.003925
23,999,0.001737,0.000436,0.083029,0.0037
24,999,0.001737,0.000436,0.083564,0.002647
25,471,0.001737,0.000436,0.083029,0.002212
26,999,0.001737,0.000436,0.083207,0.001769
27,437,0.001737,0.000436,0.081693,0.002038
28,999,0.001737,0.000436,0.082762,0.00088
29,999,0.001737,0.000436,0.082138,0.000766
30,999,0.001737,0.000436,0.08196,0.001265
31,462,0.001737,0.000436,0.082494,0.000131
32,430,0.001737,0.000436,0.08196,0.000324
33,999,0.001737,0.000436,0.081515,0.001536
34,999,0.001737,0.000436,0.082762,0.000874
35,999,0.001737,0.000436,0.082494,0.001122
36,999,0.001737,0.000436,0.08196,0.001251
37,239,0.001737,0.000436,0.082673,0.002401
38,246,0.001737,0.000436,0.078308,0.001537
39,246,0.001737,0.000436,0.078308,0.001537
40,999,0.001737,0.000436,0.079911,0.002091
41,999,0.001737,0.000436,0.079644,0.001949
42,490,0.001737,0.000436,0.077951,0.002364
43,188,0.001737,0.000436,0.079198,0.002301
44,999,0.001737,0.000436,0.078575,0.0019
45,367,0.001737,0.000436,0.079555,0.002856
46,999,0.001737,0.000436,0.079822,0.001542
47,184,0.001737,0.000436,0.079733,0.002492
48,999,0.001737,0.000436,0.079109,0.001742
49,297,0.001737,0.000436,0.077951,0.001827
50,302,0.001737,0.000436,0.079109,0.002224
