"library_id","description","total_spots","total_bases","label"
"SRR033879","none",505607,137238473,"amplicon"
"SRR033880","none",490496,133414217,"amplicon"
"SRR033881","none",497968,136451067,"amplicon"
"SRR033882","none",275066,74116916,"amplicon"
"SRR033883","none",478796,129349370,"amplicon"
"SRR033884","none",430287,116316831,"amplicon"
"SRR2001459","none",3133,1570944,"amplicon"
"SRR2001460","none",15367,7703662,"amplicon"
"SRR2001461","none",3689,1849679,"amplicon"
"SRR2001462","none",4901,2456917,"amplicon"
"SRR2001463","none",6181,3099348,"amplicon"
"SRR2001464","none",5849,2930807,"amplicon"
"SRR2001465","none",6877,3447227,"amplicon"
"SRR2001466","none",673,337279,"amplicon"
"SRR2001467","none",5077,2544168,"amplicon"
"SRR2001468","none",7966,3994432,"amplicon"
"SRR2001469","none",14760,7396969,"amplicon"
"SRR2001470","none",24052,12054054,"amplicon"
"SRR2001471","none",2421,1213557,"amplicon"
"SRR2001472","none",4419,2214862,"amplicon"
"SRR2001473","none",13532,6780549,"amplicon"
"SRR2001474","none",4793,2402535,"amplicon"
"SRR2001475","none",2517,1261774,"amplicon"
"SRR2001476","none",4316,2163689,"amplicon"
"SRR2001477","none",17121,8584678,"amplicon"
"SRR2001478","none",4910,2461090,"amplicon"
"SRR2001479","none",382462,191793849,"amplicon"
"SRR2001480","none",13770,6903708,"amplicon"
"SRR2001481","none",496103,149605744,"amplicon"
"SRR2001482","none",319227,96238597,"amplicon"
"SRR2001483","none",352446,106319522,"amplicon"
"SRR2001484","none",368908,111281832,"amplicon"
"SRR2001485","none",240488,72467596,"amplicon"
"SRR2001486","none",310129,93499548,"amplicon"
"SRR2001487","none",176803,53310632,"amplicon"
"SRR2001488","none",284758,85848022,"amplicon"
"SRR2001489","none",296729,89519328,"amplicon"
"SRR2001490","none",293199,88424059,"amplicon"
"SRR2001491","none",245377,73992944,"amplicon"
"SRR2001492","none",421212,127089805,"amplicon"
"SRR2001493","none",209794,63269118,"amplicon"
"SRR2001494","none",271113,81770503,"amplicon"
"SRR2001495","none",390215,117755488,"amplicon"
"SRR2001496","none",354333,106931811,"amplicon"
"SRR2001497","none",317759,95781775,"amplicon"
"SRR2001498","none",299458,90296985,"amplicon"
"SRR2001499","none",269616,81330064,"amplicon"
"SRR2001500","none",297410,89758104,"amplicon"
"SRR2001501","none",346952,104661130,"amplicon"
"SRR2001502","none",266131,80281614,"amplicon"
"SRR2064977","none",38452,17983672,"amplicon"
"SRR2064979","none",42123,19756183,"amplicon"
"SRR2064995","none",35786,16833906,"amplicon"
"SRR2064996","none",45788,20878873,"amplicon"
"SRR2064997","none",46476,20929033,"amplicon"
"SRR2065000","none",45798,20493216,"amplicon"
"SRR2065001","none",36085,16584686,"amplicon"
"SRR2423609","none",61031,37350972,"amplicon"
"SRR2423610","none",55943,34237116,"amplicon"
"SRR2423611","none",75440,46169280,"amplicon"
"SRR2423612","none",35358,21639096,"amplicon"
"SRR2423613","none",41996,25701552,"amplicon"
"SRR2423614","none",52702,32253624,"amplicon"
"SRR2423615","none",31973,19567476,"amplicon"
"SRR2423616","none",55953,34243236,"amplicon"
"SRR2423617","none",39897,24416964,"amplicon"
"SRR2423618","none",97393,58536411,"amplicon"
"SRR2423619","none",67826,40676490,"amplicon"
"SRR2423620","none",102542,61544924,"amplicon"
"SRR2423621","none",16837,10108309,"amplicon"
"SRR2423622","none",43523,22651146,"amplicon"
"SRR2423623","none",45872,27587314,"amplicon"
"SRR2423624","none",38312,22939189,"amplicon"
"SRR2423625","none",22790,13693115,"amplicon"
"SRR2423626","none",70153,41411522,"amplicon"
"SRR2423627","none",79494,47696776,"amplicon"
"SRR2423628","none",38071,22589861,"amplicon"
"SRR2423629","none",13728,8093747,"amplicon"
"SRR2423630","none",49536,29432722,"amplicon"
"SRR2423631","none",38966,23320903,"amplicon"
"SRR2423632","none",26468,15783304,"amplicon"
"SRR2423633","none",19989,12000180,"amplicon"
"SRR2423634","none",89281,52910158,"amplicon"
"SRR2423635","none",74361,45508932,"amplicon"
"SRR2423636","none",44219,27062028,"amplicon"
"SRR2423637","none",87250,53397000,"amplicon"
"SRR2423638","none",37565,22989780,"amplicon"
"SRR2423639","none",53706,32868072,"amplicon"
"SRR2423640","none",44717,27366804,"amplicon"
"SRR2423641","none",147889,90508068,"amplicon"
"SRR2423642","none",77646,47519352,"amplicon"
"SRR2423643","none",24309,14877108,"amplicon"
"SRR2423644","none",18678,11229716,"amplicon"
"SRR2423645","none",44836,26887472,"amplicon"
"SRR2423646","none",43882,26289574,"amplicon"
"SRR2423647","none",22779,13689590,"amplicon"
"SRR2423648","none",68153,40916570,"amplicon"
"SRR2423649","none",105179,62712953,"amplicon"
"SRR2423650","none",64767,38838260,"amplicon"
"SRR2423651","none",64137,38518714,"amplicon"
"SRR2423652","none",89845,53956235,"amplicon"
"SRR2423653","none",67390,38957581,"amplicon"
"SRR2423654","none",50351,30227446,"amplicon"
"SRR2423655","none",57729,34310659,"amplicon"
"SRR2423656","none",31941,18998582,"amplicon"
"SRR2423657","none",39806,23196058,"amplicon"
"SRR2423658","none",44219,26423828,"amplicon"
"SRR2423659","none",48578,28798875,"amplicon"
"SRR2423660","none",36694,21931888,"amplicon"
"SRR2423661","none",85038,50677547,"amplicon"
"SRR2423662","none",80223,48176060,"amplicon"
"SRR2423663","none",61636,37034730,"amplicon"
"SRR2423664","none",63131,37932793,"amplicon"
"SRR2423665","none",48497,29131785,"amplicon"
"SRR2423666","none",27465,16502809,"amplicon"
"SRR2423667","none",29387,17598760,"amplicon"
"SRR2423668","none",36068,21365291,"amplicon"
"SRR2423669","none",38569,22790908,"amplicon"
"SRR2423670","none",85084,51128304,"amplicon"
"SRR2423671","none",60497,37024164,"amplicon"
"SRR2423672","none",47484,28525620,"amplicon"
"SRR2423673","none",56936,34235267,"amplicon"
"SRR2423674","none",682,144630,"amplicon"
"SRR2423675","none",1772,593786,"amplicon"
"SRR2423676","none",1844,453248,"amplicon"
"SRR2423677","none",322,74093,"amplicon"
"SRR2423678","none",1017,236530,"amplicon"
"SRR2423679","none",1793,345525,"amplicon"
"SRR2423680","none",1665,462308,"amplicon"
"SRR2423681","none",127,33789,"amplicon"
"SRR5219975","none",127,33789,"amplicon"
"SRR2423682","none",1120,382518,"amplicon"
"SRR5219974","none",1120,382518,"amplicon"
"SRR3453359","none",75195,45267390,"amplicon"
"SRR3453361","none",69921,42092442,"amplicon"
"SRR3453367","none",100804,60684008,"amplicon"
"SRR3453369","none",91529,55100458,"amplicon"
"SRR3453371","none",105393,63446586,"amplicon"
"SRR3453373","none",76406,45996412,"amplicon"
"SRR3453375","none",65516,39440632,"amplicon"
"SRR3453377","none",56308,33897416,"amplicon"
"SRR3453379","none",73439,44210278,"amplicon"
"SRR3453381","none",49389,29732178,"amplicon"
"SRR3453383","none",156899,94453198,"amplicon"
"SRR3453385","none",55756,33565112,"amplicon"
"SRR3453386","none",70707,42565614,"amplicon"
"SRR3453388","none",85743,51617286,"amplicon"
"SRR3453390","none",40135,24161270,"amplicon"
"SRR3453392","none",58445,35183890,"amplicon"
"SRR3453394","none",44657,26883514,"amplicon"
"SRR3453396","none",160651,96711902,"amplicon"
"SRR3453398","none",56249,33861898,"amplicon"
"SRR3453400","none",40909,24627218,"amplicon"
