"library_id" "total_spots" "total_bases" "taxonomy_id" "ScientificName"
"SRR21361773" 301480 90444000 1869227 "bacterium"
"SRR21358295" 1110510 166576500 1869227 "bacterium"
"SRR21360432" 1612936 241940400 1869227 "bacterium"
"SRR21361559" 403168 120950400 1869227 "bacterium"
"SRR21362649" 516791 155037300 1869227 "bacterium"
"SRR21361571" 463708 139112400 1869227 "bacterium"
"SRR21358770" 1797618 269642700 1869227 "bacterium"
"SRR21360027" 1147990 172198500 1869227 "bacterium"
"SRR21359807" 1622670 243400500 1869227 "bacterium"
"SRR21360389" 418738 62810700 1869227 "bacterium"
"SRR21362106" 74 22200 1869227 "bacterium"
"SRR21361857" 5186964 778044600 1869227 "bacterium"
"SRR21361836" 195438 58631400 1869227 "bacterium"
"SRR21358666" 2066576 309986400 1869227 "bacterium"
"SRR21359504" 2833832 425074800 1869227 "bacterium"
"SRR21359844" 737078 221123400 1869227 "bacterium"
"SRR21361843" 2076688 311503200 1869227 "bacterium"
"SRR12182895" 230228 67603820 1869227 "bacterium"
"SRR21362285" 716411 214923300 1869227 "bacterium"
"SRR12182892" 160437 47268795 1869227 "bacterium"
"SRR21360958" 287701 86310300 1869227 "bacterium"
"SRR21360404" 962830 144424500 1869227 "bacterium"
"SRR21359820" 591736 88760400 1869227 "bacterium"
"SRR21358674" 1124500 168675000 1869227 "bacterium"
"SRR21360444" 46806 7020900 1869227 "bacterium"
"SRR12182891" 956948 277836227 1869227 "bacterium"
"SRR21361039" 5050480 757572000 1869227 "bacterium"
"SRR21360902" 245350 36802500 1869227 "bacterium"
"SRR21358739" 574606 86190900 1869227 "bacterium"
"SRR21359105" 6898200 1034730000 1869227 "bacterium"
"SRR21361311" 1934459 580337700 1869227 "bacterium"
"SRR21362526" 1952339 585701700 1869227 "bacterium"
"SRR21362177" 165 49500 1869227 "bacterium"
"SRR21358516" 1489134 223370100 1869227 "bacterium"
"SRR21358524" 961234 144185100 1869227 "bacterium"
"SRR21362490" 158 47400 1869227 "bacterium"
"SRR21359248" 788903 236670900 1869227 "bacterium"
"SRR21358499" 727658 109148700 1869227 "bacterium"
"SRR21358398" 1504364 225654600 1869227 "bacterium"
"SRR21358822" 222 33300 1869227 "bacterium"
"SRR21358523" 538238 80735700 1869227 "bacterium"
"SRR21360963" 397974 119392200 1869227 "bacterium"
"SRR21363145" 954582 286374600 1869227 "bacterium"
"SRR21361143" 99948 29984400 1869227 "bacterium"
"SRR7527227" 481473 140125692 1869227 "bacterium"
"SRR21360057" 3268530 490279500 1869227 "bacterium"
"SRR21360387" 58628 8794200 1869227 "bacterium"
"SRR21359200" 1938704 290805600 1869227 "bacterium"
"SRR21361633" 2088048 626414400 1869227 "bacterium"
"SRR21358200" 1248060 187209000 1869227 "bacterium"
"SRR21361891" 1452528 435758400 1869227 "bacterium"
"SRR21360973" 536045 160813500 1869227 "bacterium"
"SRR21361662" 1637958 491387400 1869227 "bacterium"
"SRR21362280" 497096 149128800 1869227 "bacterium"
"SRR21360505" 609080 91362000 1869227 "bacterium"
"SRR21360780" 356960 53544000 1869227 "bacterium"
"SRR21363050" 913449 274034700 1869227 "bacterium"
"SRR21359332" 224 33600 1869227 "bacterium"
"SRR21359312" 1261364 378409200 1869227 "bacterium"
"SRR21360906" 164886 49465800 1869227 "bacterium"
"SRR7527472" 330846 95428208 1869227 "bacterium"
"SRR21361979" 755299 226589700 1869227 "bacterium"
"SRR21360195" 1130922 169638300 1869227 "bacterium"
"SRR21359909" 2141524 321228600 1869227 "bacterium"
"SRR21363005" 1163552 349065600 1869227 "bacterium"
"SRR21360896" 1908200 286230000 1869227 "bacterium"
"SRR21358496" 1769120 265368000 1869227 "bacterium"
"SRR21361108" 4323772 648565800 1869227 "bacterium"
"SRR21360834" 500124 75018600 1869227 "bacterium"
"SRR21363183" 405274 121582200 1869227 "bacterium"
"SRR21362189" 467652 140295600 1869227 "bacterium"
"SRR21358654" 3457752 518662800 1869227 "bacterium"
"SRR21361285" 453286 135985800 1869227 "bacterium"
"SRR21360865" 55900 8385000 1869227 "bacterium"
"SRR21360429" 216 32400 1869227 "bacterium"
"SRR7527482" 351777 101896884 1869227 "bacterium"
"SRR21361671" 558993 167697900 1869227 "bacterium"
"SRR21363122" 328152 98445600 1869227 "bacterium"
"SRR21363090" 308571 92571300 1869227 "bacterium"
"SRR21360042" 2534516 380177400 1869227 "bacterium"
"SRR21361291" 607898 182369400 1869227 "bacterium"
"SRR21360292" 2623602 393540300 1869227 "bacterium"
"SRR21362491" 833980 250194000 1869227 "bacterium"
"SRR21361420" 3247592 974277600 1869227 "bacterium"
"SRR21362088" 29633 8889900 1869227 "bacterium"
"SRR21362083" 383316 114994800 1869227 "bacterium"
"SRR21358888" 1047274 157091100 1869227 "bacterium"
"SRR21360313" 855392 128308800 1869227 "bacterium"
"SRR21360347" 995782 149367300 1869227 "bacterium"
"SRR21360447" 2211446 331716900 1869227 "bacterium"
"SRR21360079" 130416 19562400 1869227 "bacterium"
"SRR21362223" 46259 13877700 1869227 "bacterium"
"SRR21361976" 146324 43897200 1869227 "bacterium"
"SRR21361514" 2614042 784212600 1869227 "bacterium"
"SRR21361645" 551027 165308100 1869227 "bacterium"
"SRR21358989" 765404 114810600 1869227 "bacterium"
"SRR21358277" 409038 61355700 1869227 "bacterium"
"SRR21358598" 3781744 567261600 1869227 "bacterium"
"SRR21362095" 28269 8480700 1869227 "bacterium"
"SRR21361069" 336295 100888500 1869227 "bacterium"
"SRR21359221" 666634 99995100 1869227 "bacterium"
"SRR21361603" 122522 36756600 1869227 "bacterium"
"SRR7527447" 15015 4403183 1869227 "bacterium"
"SRR21358916" 942458 141368700 1869227 "bacterium"
"SRR21363043" 442027 132608100 1869227 "bacterium"
"SRR21361860" 221401 66420300 1869227 "bacterium"
"SRR21361456" 226899 68069700 1869227 "bacterium"
"SRR21361349" 13550 4065000 1869227 "bacterium"
"SRR21360354" 361410 54211500 1869227 "bacterium"
"SRR21358625" 384846 57726900 1869227 "bacterium"
"SRR21362544" 487334 146200200 1869227 "bacterium"
"SRR21359961" 3741704 561255600 1869227 "bacterium"
"SRR21360034" 558044 83706600 1869227 "bacterium"
"SRR21359776" 1238664 185799600 1869227 "bacterium"
"SRR21361774" 1531287 459386100 1869227 "bacterium"
"SRR21358647" 1256530 188479500 1869227 "bacterium"
"SRR21358700" 1251034 187655100 1869227 "bacterium"
"SRR21358873" 1628110 244216500 1869227 "bacterium"
"SRR21362067" 2064448 619334400 1869227 "bacterium"
"SRR21361341" 613007 183902100 1869227 "bacterium"
"SRR21360486" 674376 101156400 1869227 "bacterium"
"SRR21358531" 918584 137787600 1869227 "bacterium"
"SRR21359849" 598344 89751600 1869227 "bacterium"
"SRR21362099" 804599 241379700 1869227 "bacterium"
"SRR21362756" 545263 163578900 1869227 "bacterium"
"SRR21359882" 925978 138896700 1869227 "bacterium"
"SRR21362152" 2581550 774465000 1869227 "bacterium"
"SRR21360466" 939280 140892000 1869227 "bacterium"
"SRR21360436" 674402 101160300 1869227 "bacterium"
"SRR21359528" 2568058 385208700 1869227 "bacterium"
"SRR12182988" 636646 187613748 1869227 "bacterium"
"SRR21362929" 423422 127026600 1869227 "bacterium"
"SRR12183029" 447725 131837893 1869227 "bacterium"
"SRR21359471" 1334212 200131800 1869227 "bacterium"
"SRR21358649" 849936 127490400 1869227 "bacterium"
"SRR21363139" 1051526 315457800 1869227 "bacterium"
"SRR21358755" 1148512 172276800 1869227 "bacterium"
"SRR21361962" 153414 46024200 1869227 "bacterium"
"SRR21360785" 607274 182182200 1869227 "bacterium"
"SRR21359261" 1607620 241143000 1869227 "bacterium"
"SRR21363111" 350011 105003300 1869227 "bacterium"
"SRR21361599" 610594 183178200 1869227 "bacterium"
"SRR21359415" 813746 122061900 1869227 "bacterium"
"SRR7527529" 569427 165683407 1869227 "bacterium"
"SRR21358495" 279686 41952900 1869227 "bacterium"
"SRR21362883" 210 63000 1869227 "bacterium"
"SRR21361151" 366043 109812900 1869227 "bacterium"
"SRR21359977" 2470978 370646700 1869227 "bacterium"
"SRR21361125" 183 54900 1869227 "bacterium"
